date,avg,º½,¿ùµ¿
2015-04,"4,900",-,"4,500"
2015-04,"5,000",-,"4,500"
2015-04,"5,000",-,"4,500"
2015-04,"5,000",-,"4,500"
2015-04,"5,000",-,"4,500"
2015-04,"5,000",-,"4,500"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,800",-,"4,000"
2015-04,"4,900",-,"4,000"
2015-04,"4,900",-,"4,000"
2015-04,"5,100",-,"4,000"
2015-04,"5,100",-,"4,000"
2015-04,"5,300",-,"4,500"
2015-04,"5,300",-,"4,500"
2015-04,"5,400",-,"5,000"
2015-04,"5,500",-,"5,500"
2015-05,"5,900",-,"7,500"
2015-05,"6,700",-,"7,500"
2015-05,"6,900",-,"7,500"
2015-05,"6,900",-,"7,500"
2015-05,"7,100",-,"7,500"
2015-05,"7,350","9,000","8,000"
2015-05,"7,350","8,000","9,000"
2015-05,"7,350","8,000","9,000"
2015-05,"7,350","8,000","9,000"
2015-05,"10,700","10,000","13,000"
2015-05,"11,100","11,000","13,000"
2015-05,"11,100","11,000","13,000"
2015-05,"11,300","11,000","13,000"
2015-05,"11,100","10,000","12,000"
2015-05,"11,100","10,000","12,000"
2015-05,"11,000","10,000","12,000"
2015-05,"10,800","10,000","13,000"
2015-05,"10,500","9,000","13,000"
2015-06,"9,000","9,000",-
2015-06,"9,000","9,000",-
2015-06,"8,600","8,000",-
2015-06,"7,600","8,000",-
2015-06,"7,600","8,000",-
2015-06,"7,400","7,000",-
2015-06,"7,500","7,500",-
2015-06,"7,600","8,000",-
2015-06,"8,100","9,000",-
2015-06,"8,000","8,000",-
2015-06,"7,600","7,000",-
2015-06,"7,100","6,500",-
2015-06,"7,100","6,500",-
2015-06,"6,700","6,500",-
2015-06,"6,700","6,500",-
2015-06,"6,800","7,000",-
2015-06,"6,900","6,500",-
2015-06,"7,000","7,000",-
2015-06,"7,000","7,000",-
2015-06,"7,000","7,000",-
2015-06,"7,000","7,000",-
2015-06,"7,000","7,000",-
